epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.8507,2.25889,4.8015,2.0168,0,0,0,0,1.57219,4.3771,1.46426,0,0,0
2,69.66,2.27903,4.62556,2.04406,0,0,0,0,1.56989,4.37094,1.46231,4.9505e-06,4.9505e-06,4.9505e-06
3,74.1317,2.37984,4.73349,2.14541,0,0,0,0,1.56327,4.36205,1.46705,9.802e-06,9.802e-06,9.802e-06
4,78.521,2.40794,4.79225,2.31079,0,0,0,0,1.56177,4.35745,1.46199,1.45545e-05,1.45545e-05,1.45545e-05
5,83.7189,2.28641,4.50477,2.27585,0,0,0,0,1.53251,4.38132,1.46491,1.9208e-05,1.9208e-05,1.9208e-05
6,88.2326,2.11463,4.53381,1.94222,0,0,0,0,1.47677,4.42024,1.45255,2.37625e-05,2.37625e-05,2.37625e-05
7,92.7201,2.14159,4.68014,2.07123,0,0,0,0,1.46867,4.40679,1.44276,2.8218e-05,2.8218e-05,2.8218e-05
8,98.1162,2.28519,4.62374,2.10595,0,0,0,0,1.46061,4.40818,1.42918,3.25745e-05,3.25745e-05,3.25745e-05
9,103.412,2.311,4.61144,2.11526,0,0,0,0,1.43732,4.42024,1.41121,3.6832e-05,3.6832e-05,3.6832e-05
10,108.083,2.12343,4.77359,1.9686,0,0,0,0,1.4114,4.41159,1.39724,4.09905e-05,4.09905e-05,4.09905e-05
11,112.893,1.78782,4.47829,1.8792,0,0,0,0,1.38034,4.37734,1.37648,4.505e-05,4.505e-05,4.505e-05
12,119.577,1.95932,4.56112,1.84481,0,0,0,0,1.37712,4.38603,1.35534,4.90105e-05,4.90105e-05,4.90105e-05
13,125.173,1.99399,4.53099,1.9618,0,0,0,0,1.362,4.40626,1.33552,5.2872e-05,5.2872e-05,5.2872e-05
14,129.928,1.69775,4.66469,1.67006,0,0,0,0,1.37239,4.40393,1.3316,5.66345e-05,5.66345e-05,5.66345e-05
15,134.524,1.80488,4.53584,1.80165,0,0,0,0,1.3685,4.38967,1.32053,6.0298e-05,6.0298e-05,6.0298e-05
16,139.184,1.64952,4.55364,1.6806,0,0,0,0,1.37785,4.34945,1.30794,6.38625e-05,6.38625e-05,6.38625e-05
17,143.755,1.77196,4.4372,1.74292,0,0,0,0,1.36657,4.34483,1.28693,6.7328e-05,6.7328e-05,6.7328e-05
18,148.284,1.63131,4.25412,1.59763,0,0,0,0,1.36657,4.34483,1.28693,7.06945e-05,7.06945e-05,7.06945e-05
19,152.901,1.6448,4.41105,1.62306,0,0,0,0,1.35999,4.31615,1.27527,7.3962e-05,7.3962e-05,7.3962e-05
20,157.612,1.66776,4.43851,1.58209,0,0,0,0,1.35999,4.31615,1.27527,7.71305e-05,7.71305e-05,7.71305e-05
21,162.194,1.75739,4.41287,1.61802,0,0,0,0,1.3509,4.30218,1.2735,8.02e-05,8.02e-05,8.02e-05
22,166.836,1.50828,4.29201,1.5247,0,0,0,0,1.3509,4.30218,1.2735,8.31705e-05,8.31705e-05,8.31705e-05
23,171.385,1.51208,4.40709,1.65787,0,0,0,0,1.3118,4.26615,1.23934,8.6042e-05,8.6042e-05,8.6042e-05
24,175.971,1.46505,4.18611,1.43052,0,0,0,0,1.3118,4.26615,1.23934,8.88145e-05,8.88145e-05,8.88145e-05
25,180.552,1.46238,4.2199,1.44017,0,0,0,0,1.27203,4.26292,1.22393,9.1488e-05,9.1488e-05,9.1488e-05
26,185.19,1.45044,4.00247,1.44261,0,0,0,0,1.27203,4.26292,1.22393,9.40625e-05,9.40625e-05,9.40625e-05
